,artist,name song,num reproduction,time duration
0,Michael Jackson,Billie Jean,2624095458,4:53
1,Michael Jackson,Beat It,1682367876,4:18
2,Michael Jackson,Chicago,606884705,4:05
3,Michael Jackson,They Don't Care About Us,576118696,4:44
4,Michael Jackson,Smooth Criminal - 2012 Remaster,1061398339,4:17
5,Michael Jackson,Rock with You - Single Version,859342021,3:39
6,Michael Jackson,Dirty Diana - 2012 Remaster,406073853,4:40
7,Michael Jackson,The Way You Make Me Feel - 2012 Remaster,712278316,4:58
8,Michael Jackson,Don't Stop 'Til You Get Enough,717410961,6:04
9,Michael Jackson,Remember the Time,524594453,4:00
