categoria,sub_categoria,nombre_product,sku,url_general,url_product,price_original,precio_oferta,promo_producto,type_promo_by_product,bonus_product,type_bonus_by_product,time_update
Jugos y bebidas,Refrescos,Refresco Coca-Cola 2 Lt Pack con 2 Piezas,7501055302222_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-2-lt-pack-con-2-piezas/1118009.html,80.90,0.0,20% en Dinero electrónico,Aplica cupón,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Agua Mineral Peñafiel Sifón 1.75 L,7501073840843_A,https://www.soriana.com/jugos-y-bebidas/,/agua-mineral-penafiel-sifon-1.75-l/11143883.html,31.90,0.0,3 x 2,,Gratis con 300 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,6 pack de Agua Mineral Peñafiel 355 ml,7501073843066_A,https://www.soriana.com/jugos-y-bebidas/,/6-pack-de-agua-mineral-penafiel-355-ml/11658661.html,63.50,0.0,3 x 2,,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola Original 1.35 L,7501055371655_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-original-1.35-l/11509030.html,35.90,0.0,,,Gratis con 300 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola 8 Pack Lata 235 ml,7501055349425_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-8-pack-lata-235-ml/11079036.html,152.00,0.0,20% en Dinero electrónico,,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola Zero 3 lt,7501055329465_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-coca-cola-zero-3-lt/11233953.html,35.00,0.0,,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,Refresco Mirinda 0 Calorias 2.5 lt,7501022016022_A,https://www.soriana.com/jugos-y-bebidas/,/refresco-mirinda-0-calorias-2.5-lt/11882273.html,39.00,0.0,4 x 3,,Gratis con 400 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
Jugos y bebidas,Refrescos,8 Pack Coca-Cola 355 ml + Playera Edición Especial México (Talla sujeta a disponibilidad),7501055391295_A,https://www.soriana.com/jugos-y-bebidas/,/8-pack-coca-cola-355-ml-playera-edicion-especial-mexico-talla-sujeta-a-disponibilidad/11923449.html,250.00,0.0,20% en Dinero electrónico,Aplica cupón,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Refresco Coca Cola Zero 12 pack de 355 ml,7501055356263_A,https://www.soriana.com/jugos-y-bebidas/,/refresco--coca-cola-zero-12-pack-de-355-ml/11580134.html,91.00,0.0,,,Puntos 'dobles' al pagar con 'FALABELLA',,2026-07-01
Jugos y bebidas,Refrescos,Agua Mineral Topo Chico 600 ml,0021136010541_A,https://www.soriana.com/jugos-y-bebidas/,/agua-mineral-topo-chico-600-ml/254347.html,23.00,0.0,,,Gratis con 160 Puntos,Puntos 'dobles' al pagar con 'FALABELLA',2026-07-01
