artist,name album,year,type_disc
Billie Eilish,bitches broken hearts,2018,Sencillo
Billie Eilish,MyBoi (TroyBoi Remix),2018,Sencillo
Billie Eilish,COPYCAT (Sofi Tukker Remix),2018,Sencillo
Billie Eilish,dont smile at me,2017,EP
Billie Eilish,&burn (with Vince Staples),2017,Sencillo
Billie Eilish,Bellyache (Marian Hill Remix),2017,Sencillo
Billie Eilish,Bored,2017,Sencillo
Billie Eilish,Bellyache,2017,Sencillo
Billie Eilish,Six Feet Under (The Remixes),2017,Sencillo
Tayler The Creator,FISH N STEAK (WHAT IT IS) (feat. Tyler The Creator & Jozzy),2026,Sencillo
Tayler The Creator,DON'T TAP THE GLASS,2025,Álbum
Tayler The Creator,CHROMAKOPIA +,2024,Álbum
Tayler The Creator,CHROMAKOPIA,2024,Álbum
Tayler The Creator,Noid,2024,Sencillo
Tayler The Creator,CALL ME IF YOU GET LOST: The Estate Sale,2023,Álbum
Tayler The Creator,Cash In Cash Out,2022,Sencillo
Tayler The Creator,CALL ME IF YOU GET LOST,2021,Álbum
Tayler The Creator,LUMBERJACK,2021,Sencillo
Tayler The Creator,Tell Me How (Coca-Cola Commercial),2021,Sencillo
Tayler The Creator,Automatic Driver (Tyler The Creator Remix),2020,Sencillo
Tayler The Creator,GROUP B,2020,Sencillo
Tayler The Creator,BEST INTEREST,2020,Sencillo
Tayler The Creator,EARFQUAKE (Channel Tres Remix),2019,Sencillo
Tayler The Creator,IGOR,2019,Álbum
Tayler The Creator,Music Inspired by Illumination & Dr. Seuss' The Grinch,2018,EP
Tayler The Creator,Potato Salad,2018,Sencillo
Tayler The Creator,Peach Fuzz,2018,Sencillo
Tayler The Creator,435,2018,Sencillo
Tayler The Creator,OKRA,2018,Sencillo
Tayler The Creator,Flower Boy,2017,Álbum
Tayler The Creator,Who Dat Boy / 911,2017,Sencillo
Tayler The Creator,Cherry Bomb + Instrumentals,2015,Álbum
Tayler The Creator,Cherry Bomb,2015,Álbum
Tayler The Creator,Wolf + Instrumentals,2013,Álbum
Tayler The Creator,Wolf,2013,Álbum
Tayler The Creator,Domo23,2013,Sencillo
Tayler The Creator,Goblin,2011,Álbum
Hapax,A Different Blue (The Coventry Remix),2021,Sencillo
Hapax,Silvery Track,2021,Sencillo
Hapax,Exile,2021,EP
Hapax,Doctrina Hapax Remix,2021,Sencillo
