Item Nbr,Description,Clubs in Active Status,Clubs in Special Buy Status,Clubs in Cancel Status,On Hand Retail $,4 Weeks Weekly Avg $,Weeks Supply,CA Fecha Consulta,CA Hora Consulta
5427,12/90G MANTEQU C SAL CON,1,0,0,51750,3124,16.6,2026-06-14,12:21:46
199455,100/10GR MANTEQUILLA SIN,1,0,0,11271,217,51.9,2026-06-14,12:21:46
981025944,MM MANTEQUILLA SIN,0,0,1,2142,0,.0,2026-06-14,12:21:46
