Item Nbr,Primary Description,Supplier Nbr,Def Return Quantity,Def Return Retail,Def % Of Sales,POS Sales
981025944,MM MANTEQUILLA,60205,11,"1,486",0.00%,"66,841,784"
5426,12/90G MANTEQU S SAL,60205,2,419,0.00%,"58,538,247"
