Item Nbr,Primary Description,Supplier Nbr,Def Return Quantity,Def Return Retail,Def Porc Of Sales,POS Sales,CA Fecha Consulta,CA Hora Consulta
981025944,MM MANTEQUILLA,60205,11,1486,0.00,66841784,2026-06-14,12:21:46
5426,12/90G MANTEQU S SAL,60205,2,419,0.00,58538247,2026-06-14,12:21:46
