Item Nbr,Description,Clubs in Active Status,Clubs in Special Buy Status,Clubs in Cancel Status,On Hand Retail $,4 Weeks Weekly Avg $,Weeks Supply
5427,12/90G MANTEQU C SAL CON,1,0,0,"51,750","3,124",16.6
199455,100/10GR MANTEQUILLA SIN,1,0,0,"11,271",217,51.9
981025944,MM MANTEQUILLA SIN,0,0,1,"2,142",0,.0
